architecture,combination,acceleration,fuel_cons_NEDC,category,engine,motors,fuel_cons_HWFET,fuel_cons_US06,fuel_cons_WLTC,cost,availability,weight
acceleration_e10043_a1_0,i2m96_33,8.133903899351212,2.906233593855064,Series - 2WD,"2.4 l, 5 cylinders","96kW, 33kW",3.0392891679878216,inf,2.54839986446525,58600.0,0.99916,1752.0
acceleration_e10043_a1_0,i2m50_96,7.2029304440785475,2.916999071435899,Series - 2WD,"2.4 l, 5 cylinders","50kW, 96kW",3.047926758254206,4.322636316867861,2.557779641788083,59000.0,0.99916,1810.0
acceleration_e10043_a1_0,i2m50_50,8.971834780837533,2.887877807642089,Series - 2WD,"2.4 l, 5 cylinders","50kW, 50kW",3.0245589591278232,4.291559846230454,2.5323997899881974,56000.0,0.99916,1720.0
acceleration_e10043_a1_0,i2m50_33,10.77326955843042,2.8771227049302905,Series - 2WD,"2.4 l, 5 cylinders","50kW, 33kW",3.0159267729478385,inf,2.5230208130330194,55600.0,0.99916,1662.0
acceleration_e10043_a1_0,i2m33_96,8.13390389941821,2.906233593855064,Series - 2WD,"2.4 l, 5 cylinders","33kW, 96kW",3.0392891679878216,inf,2.54839986446525,58600.0,0.99916,1752.0
acceleration_e10043_a1_0,i2m33_50,10.773271249057471,2.8771227049302905,Series - 2WD,"2.4 l, 5 cylinders","33kW, 50kW",3.0159267729478385,inf,2.523020813033015,55600.0,0.99916,1662.0
acceleration_e10043_a1_0,i2m33_33,13.849673131150976,2.866371796194494,Series - 2WD,"2.4 l, 5 cylinders","33kW, 33kW",3.007341419555192,inf,2.51354694399759,55200.0,0.99916,1604.0
acceleration_e10043_a1_0,i3m96_96,6.260774586484689,3.4581274306670418,Series - 2WD,"2.0 l, 4 cylinders","96kW, 96kW",3.608068597687652,5.099821874034976,3.05542551345792,63500.0,0.99916,2000.0
acceleration_e10043_a1_0,i3m96_50,7.202929929125023,3.4235561698618384,Series - 2WD,"2.0 l, 4 cylinders","96kW, 50kW",3.5807970523547707,5.063516385539984,3.0261725014784746,60500.0,0.99916,1910.0
acceleration_e10043_a1_0,i3m96_33,8.133904316566616,3.4108361968568066,Series - 2WD,"2.0 l, 4 cylinders","96kW, 33kW",3.570721327191338,inf,3.0152569669563727,60100.0,0.99916,1852.0
acceleration_e10043_a1_0,i3m50_96,7.202929929125036,3.4235561698618686,Series - 2WD,"2.0 l, 4 cylinders","50kW, 96kW",3.580797052354776,5.063516385539982,3.0261725014785616,60500.0,0.99916,1910.0
acceleration_e10043_a1_0,i3m50_50,8.971837710481129,3.3891501996883453,Series - 2WD,"2.0 l, 4 cylinders","50kW, 50kW",3.5535313708668768,5.027214965793549,2.9956882663305597,57500.0,0.99916,1820.0
acceleration_e10043_a1_0,i3m50_33,10.773271338308485,3.3764451951184657,Series - 2WD,"2.0 l, 4 cylinders","50kW, 33kW",3.5434582424098706,inf,2.9841265696989723,57100.0,0.99916,1762.0
acceleration_e10043_a1_0,i3m33_96,8.133904316566587,3.410836196856807,Series - 2WD,"2.0 l, 4 cylinders","33kW, 96kW",3.570721327191339,inf,3.0154865764674685,60100.0,0.99916,1852.0
acceleration_e10043_a1_0,i3m33_50,10.773271338311453,3.3764451951184657,Series - 2WD,"2.0 l, 4 cylinders","33kW, 50kW",3.5434582424098706,inf,2.9856000037579724,57100.0,0.99916,1762.0
acceleration_e10043_a1_0,i3m33_33,13.849672466616733,3.3637461091312018,Series - 2WD,"2.0 l, 4 cylinders","33kW, 33kW",3.5334384811916344,inf,2.9718335959999864,56700.0,0.99916,1704.0
acceleration_e16757_a1_0,i1m96_96_96_96,2.934259422238282,3.604605245706132,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 96kW, 96kW",3.7221008280609817,5.249536842334911,3.2087075200017114,71150.0,0.9987309999999999,2591.0
acceleration_e16757_a1_0,i1m96_96_96_50,3.0582720826321204,3.5694016959736747,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 96kW, 50kW",3.694608879242274,5.213209143036338,3.1792901506423505,68150.0,0.9987309999999999,2501.0
acceleration_e16757_a1_0,i1m96_96_96_33,3.1380261018844284,3.556441084680728,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 96kW, 33kW",3.684451785240486,5.199785240068012,3.1685004267473307,67750.0,0.9987309999999999,2443.0
acceleration_e16757_a1_0,i1m96_96_50_96,3.0582720826321204,3.5694016959736765,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 50kW, 96kW",3.694608879242274,5.213209143044558,3.17929015064235,68150.0,0.9987309999999999,2501.0
acceleration_e16757_a1_0,i1m96_96_50_50,3.337566288738957,3.5350861732350065,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 50kW, 50kW",3.6671361796645687,5.17688762429434,3.146820323044712,65150.0,0.9987309999999999,2411.0
acceleration_e16757_a1_0,i1m96_96_50_33,3.5060725047550965,3.5221863448006614,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 50kW, 33kW",3.6569868773809553,5.163466170293416,3.139307304173118,64750.0,0.9987309999999999,2353.0
acceleration_e16757_a1_0,i1m96_96_33_96,3.1380261018844284,3.556441084680728,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 33kW, 96kW",3.684451785240486,5.199785240068012,3.168500426747332,67750.0,0.9987309999999999,2443.0
acceleration_e16757_a1_0,i1m96_96_33_50,3.5060725047550965,3.5221863448007213,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 33kW, 50kW",3.6569868773809553,5.1634661702934155,3.139307304173118,64750.0,0.9987309999999999,2353.0
acceleration_e16757_a1_0,i1m96_96_33_33,3.729545637931123,3.509293506245921,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 33kW, 33kW",3.6468401675504176,5.1500456031111765,3.12851947571564,64350.0,0.9987309999999999,2295.0
acceleration_e16757_a1_0,i1m96_50_96_96,3.1122849249515085,3.5694016506391417,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 96kW, 96kW",3.694608879242274,5.21320914304416,3.1792901506423497,68150.0,0.9987309999999999,2501.0
acceleration_e16757_a1_0,i1m96_50_96_50,3.272853938699241,3.5350861732350034,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 96kW, 50kW",3.667135583267735,5.176887624287015,3.1500956385988594,65150.0,0.9987309999999999,2411.0
